Episode_reward,episode
-1037.2442064560664,0
-1847.6011742012683,1
-1572.0879549063445,2
-1909.3375551414695,3
-1625.804678424486,4
-1458.3791532216028,5
-1676.7294710872982,6
-1880.5057794936977,7
-1714.7693216217642,8
-1823.5511048861317,9
-1646.443571113762,10
-1791.0004302144125,11
-1665.68509294836,12
-1539.889248662342,13
-1767.7738309574574,14
-1572.8167680134982,15
-1782.487852652908,16
-1627.7773814954378,17
-1798.02694320105,18
-1043.1123802930633,19
-1824.8765786915278,20
-1738.5748540276559,21
-1615.4604821214007,22
-1615.866218962353,23
-1756.9861376765596,24
-1776.4853929124988,25
-1571.456568416333,26
-1731.0225055701799,27
-1587.0271869127716,28
-1617.4324253980737,29
-1675.8339629364875,30
-1589.88151645331,31
-1520.736910439898,32
-1703.4725034879411,33
-1592.095144261398,34
-1488.159085305198,35
-1655.3300268675887,36
-1416.3679355346933,37
-1433.1090706415507,38
-1531.0053852655142,39
-1567.0351726159126,40
-1588.564338627357,41
-1182.073475448932,42
-1475.0963413565785,43
-1454.7558679603126,44
-1229.3876682396108,45
-1468.3415804526874,46
-1343.0820826356976,47
-1513.5150837470433,48
-1060.864898279517,49
-1466.2970468041235,50
-1466.4791867410315,51
-1414.8144066165612,52
-1404.5800318908703,53
-1361.4837234088805,54
-1356.8567702395721,55
-1348.8952982791732,56
-1413.3690608311895,57
-1375.0557294954053,58
-1321.5190279442513,59
-1372.1536567426783,60
-1140.597696688407,61
-1402.6687097798392,62
-1574.6781229328142,63
-1576.7077879607637,64
-1561.1441634778998,65
-1200.2874926818092,66
-1222.3030216899904,67
-1080.4847657134544,68
-1439.779979755708,69
-1406.331773423733,70
-1052.8787347372734,71
-1557.7074680390858,72
-1559.689294638684,73
-1561.5088918414517,74
-1113.9055807595837,75
-1315.7917468029939,76
-1351.3446651057125,77
-1454.1523051798201,78
-1309.8238089783406,79
-1268.8879586322907,80
-1194.4745312273606,81
-1389.2316932804683,82
-1270.7457267870166,83
-1333.9654163853515,84
-1338.753110585217,85
-1398.082088065302,86
-1138.7920123870028,87
-1346.608755810008,88
-1281.9234448097484,89
-1324.6354138259035,90
-1236.892077361457,91
-1472.552788664081,92
-1217.9659027640732,93
-1170.3323537084118,94
-1179.7302522054513,95
-1199.4833544268613,96
-1097.9397919020873,97
-1172.5576964875197,98
-1524.7203645772004,99
-1516.3794741179613,100
-1171.0919390972815,101
-1292.1748244736343,102
-1374.3293422127795,103
-1100.207684511091,104
-1352.3333838116143,105
-1090.0873226110825,106
-1313.6740663009105,107
-1327.38168174021,108
-1083.1294573788716,109
-983.6142335865583,110
-881.3843361284513,111
-777.6955586752294,112
-1523.2942760021479,113
-643.1245561336376,114
-967.2842059822092,115
-1363.9080690602211,116
-1536.377511573882,117
-1060.1031102279994,118
-1127.3393896240152,119
-1355.9448272702484,120
-1383.99389366388,121
-1508.803686267915,122
-1349.5714176609602,123
-1348.4093299734961,124
-979.3129210110255,125
-1109.0927160725516,126
-1494.3358662370995,127
-1232.529477955824,128
-1198.2221484953939,129
-1204.3422832071053,130
-1223.259894601989,131
-1048.264869873165,132
-1214.9576570813924,133
-1233.7189467355558,134
-781.7075925291913,135
-1353.194273574951,136
-685.7806108704868,137
-1287.1007558246267,138
-1230.9323991845604,139
-1186.4067360770057,140
-786.4065882045364,141
-1001.600194957268,142
-915.6642388726257,143
-1092.0082532491876,144
-675.889350695875,145
-873.1397630522355,146
-1184.5470871826124,147
-1041.735120338675,148
-645.3836706510756,149
-594.7457941205153,150
-924.9620007988684,151
-525.3225826681372,152
-515.1276436894625,153
-1383.728730884463,154
-525.0847542187588,155
-730.2522633554491,156
-588.412968141994,157
-644.2747986192634,158
-965.5322075506963,159
-1413.4680491967438,160
-1160.905794333069,161
-653.7941212692359,162
-784.4573284539567,163
-1060.4051048850272,164
-917.8574134621971,165
-654.9807166763895,166
-754.147898396826,167
-521.2704617968814,168
-1328.2391181587886,169
-1229.9026965641324,170
-520.406713854922,171
-540.8686159112228,172
-652.6905320159613,173
-1083.3322644848085,174
-518.2184614659982,175
-520.5349799468748,176
-643.2233794775584,177
-1417.944931635821,178
-390.4077956799553,179
-652.8597513827308,180
-1101.2712486358153,181
-516.4330096473971,182
-638.7717540256594,183
-659.9938717646102,184
-511.3881267579837,185
-390.85780135927683,186
-392.2780789936845,187
-812.4970002494532,188
-1415.7206853874468,189
-783.2809505461622,190
-434.011046630424,191
-1140.6721625852579,192
-911.2346112488109,193
-1038.8824870828973,194
-953.7735338040277,195
-832.0679492311945,196
-391.5803152777578,197
-594.7326684632785,198
-134.36126154017978,199
-263.1388449951507,200
-263.35297556848843,201
-2.066724454856968,202
-263.7467460787438,203
-547.8040819121052,204
-396.19772514454803,205
-1.5163648546321538,206
-1072.4688682420128,207
-537.4239657853051,208
-406.2957933943553,209
-812.1427491763986,210
-524.538393880087,211
-130.09623397331515,212
-546.0428094436602,213
-1094.4604125441156,214
-1049.990387896455,215
-215.16348544943915,216
-663.9809345973752,217
-132.85756077729036,218
-265.1615309177778,219
-839.9940494275294,220
-522.7645163607622,221
