Episode_reward,Loss,episode
11.0,inf,0
12.0,0.4681931138038635,5
15.0,1.190276861190796,10
12.0,1.9253158569335938,15
14.0,2.1662869453430176,20
14.0,0.3513646721839905,25
13.0,1.5280985832214355,30
9.0,7.641080379486084,35
13.0,5.177434921264648,40
37.0,0.32416990399360657,45
30.0,3.0215706825256348,50
36.0,2.573920726776123,55
47.0,2.4598228931427,60
47.0,0.20579954981803894,65
59.0,0.9766868948936462,70
114.0,0.021512869745492935,75
78.0,0.020475244149565697,80
141.0,0.018932819366455078,85
200.0,0.31822460889816284,90
198.0,0.03797835111618042,95
191.0,0.014194854535162449,100
182.0,0.013047108426690102,105
176.0,2.1590566635131836,110
155.0,0.4268774092197418,115
157.0,0.024365421384572983,120
150.0,0.010818028822541237,125
143.0,0.6679432392120361,130
137.0,0.012195337563753128,135
139.0,0.016057107597589493,140
133.0,0.006115872412919998,145
130.0,0.011953135952353477,150
139.0,0.00645385030657053,155
147.0,0.014706989750266075,160
150.0,0.03395920991897583,165
132.0,0.006384558044373989,170
147.0,0.0018864702433347702,175
168.0,0.006037265993654728,180
147.0,0.003880517091602087,185
145.0,0.0685364305973053,190
139.0,0.039683014154434204,195
147.0,0.026838181540369987,200
148.0,0.0033504890743643045,205
153.0,0.027849620208144188,210
148.0,0.0022808443754911423,215
142.0,0.004483409691601992,220
153.0,0.012921614572405815,225
178.0,0.021095992997288704,230
145.0,0.016173984855413437,235
180.0,0.005053142085671425,240
189.0,2.571658134460449,245
200.0,0.005489872302860022,250
200.0,0.003300785319879651,255
200.0,0.010993970558047295,260
200.0,0.02414834313094616,265
200.0,0.0550992377102375,270
200.0,0.028599431738257408,275
200.0,0.04435380548238754,280
200.0,0.07636132836341858,285
200.0,0.02288103848695755,290
161.0,0.026148678734898567,295
182.0,0.046217601746320724,300
200.0,0.09286589920520782,305
200.0,0.027517562732100487,310
200.0,0.03821772336959839,315
200.0,0.013089239597320557,320
200.0,5.8109049797058105,325
11.0,0.007258770987391472,330
200.0,0.09761332720518112,335
200.0,3.223811388015747,340
200.0,0.03628034517168999,345
200.0,0.05087439715862274,350
200.0,0.029234319925308228,355
200.0,0.013562529347836971,360
200.0,5.093896865844727,365
200.0,0.015044460073113441,370
185.0,0.012767013162374496,375
160.0,4.742649555206299,380
200.0,1.0178560018539429,385
200.0,0.08182927221059799,390
200.0,0.01739146187901497,395
200.0,0.012645881623029709,400
9.0,0.06882349401712418,405
39.0,0.09852810204029083,410
9.0,4.144737720489502,415
200.0,0.14002403616905212,420
200.0,1.0666762590408325,425
200.0,3.7281572818756104,430
200.0,0.03138595074415207,435
200.0,1.6102722883224487,440
200.0,0.039595987647771835,445
200.0,0.02767912670969963,450
183.0,0.012993409298360348,455
179.0,1.8382511138916016,460
200.0,0.01074942946434021,465
119.0,0.05010325461626053,470
125.0,0.04084702581167221,475
177.0,0.01885252445936203,480
167.0,0.5582287311553955,485
158.0,0.33888524770736694,490
200.0,0.03887341916561127,495
191.0,0.5189582705497742,500
200.0,4.817852973937988,505
200.0,0.011416086927056313,510
148.0,0.029537221416831017,515
140.0,0.018659140914678574,520
128.0,6.135469913482666,525
140.0,0.017004529014229774,530
141.0,0.07908019423484802,535
154.0,0.014127008616924286,540
136.0,0.11874083429574966,545
143.0,0.05152087286114693,550
200.0,0.010304479859769344,555
200.0,0.7502464056015015,560
157.0,0.06722593307495117,565
200.0,0.018013518303632736,570
200.0,5.614536762237549,575
200.0,0.035216063261032104,580
200.0,0.01069585606455803,585
200.0,0.04107843339443207,590
156.0,6.011622428894043,595
