Episode_reward,Loss,episode
-1509.9431573465693,9.224396642297506,0
-1865.7656558462838,0.2480768134398386,1
-1285.631963262328,0.9022780474415049,2
-1305.4174017643334,2.977207661359571,3
-1382.4000812392546,4.911441958639771,4
-1062.575140308041,7.437465053331107,5
-1463.8546658484654,10.082108230926096,6
-1223.369614812585,15.84260846812278,7
-952.641334606606,21.111351540870963,8
-1188.393523377037,21.4787728536129,9
-1336.629206109055,20.15197231501341,10
-1526.5977045860482,27.844334089905022,11
-1284.4889842946702,30.666733276881278,12
-1602.4901520485619,33.38175935223698,13
-1506.6540408292062,34.42411740764975,14
-1388.615317798267,29.513498384170234,15
-1283.3422825947046,44.503813500329855,16
-1631.0748155793688,43.637542406357824,17
-1218.7571524464163,38.54312503609806,18
-1411.6802759192415,50.128491373732686,19
-1200.9221829226055,49.92026059575379,20
-1230.2951272159905,54.2671976512298,21
-1115.6587490790553,53.428198878541586,22
-1114.8459866674827,53.73677407834679,23
-1547.5155195785896,63.951403808966276,24
-1063.3868299522057,65.53570614930243,25
-898.8103642220121,69.60633171230555,26
-1772.604491489826,56.947230311110616,27
-1184.3980703948423,56.36146053176373,28
-759.2921595575442,56.576132576465604,29
-659.4782017407694,56.29647995978594,30
-861.2114618572491,58.280869005098936,31
-868.5843914093462,60.638545464910564,32
-1055.8006086159235,61.7349532661587,33
-968.1073123743865,47.02249816864729,34
-981.43887368482,54.137102286964655,35
-761.0594396606434,34.231038222238425,36
-1577.5114653357641,46.65215977922082,37
-1180.6829526873669,41.02836825296283,38
-624.3891328249243,45.36802312284708,39
-627.0876307311714,42.32168261505663,40
-1297.0037830418707,41.261543742641805,41
-1322.6100932334898,35.52373902335763,42
-849.5575525740325,31.8621961453557,43
-1081.1936754523663,35.82060529649257,44
-626.4815883735374,34.470040532425045,45
-744.5436034922028,27.803453820869326,46
-1463.0895354655895,37.31040966331959,47
-858.4114601314827,23.049129573255776,48
-1196.8466105893212,25.310880394652486,49
-1221.4214918479825,34.453879231885075,50
-635.5322105411383,29.389354399591685,51
-630.4519218527109,28.666258409991862,52
-1185.2536593137788,28.31704713396728,53
-764.4381632336194,22.21421483851969,54
-1313.2115576328438,24.51629433467984,55
-858.4827687078472,32.937019220255316,56
-741.389829745495,33.518929943814875,57
-637.7492933687442,22.058465831577777,58
-1565.3534979594217,23.153870964720845,59
-1054.3859100346278,25.502650653645397,60
-1770.917859770205,28.80989343907684,61
-810.2497811602519,28.819833066910505,62
-1057.2006563891528,26.13691723205149,63
-1050.428922766867,24.413474108949302,64
-874.1548399039127,28.675858917608856,65
-1238.262404563758,32.64708211489022,66
-1298.1190547629403,40.3973752079159,67
-964.2918273021526,28.06319517850876,68
-1235.3605769688743,29.70577700898051,69
-1172.5004264568718,30.53858146555722,70
-1168.3332468058768,34.81271961562336,71
-1055.7145165992451,25.386454262509943,72
-1003.6498049096768,40.83339177712798,73
-1024.3221521298358,35.24092298142612,74
-1042.4980651047051,41.469298264682294,75
-1039.9132596264599,37.89584819301963,76
-1017.8303287403377,34.35798047445714,77
-987.178003404745,42.34256130099297,78
-922.4054072981648,42.71066652163863,79
-1086.5982370765053,37.53961860656738,80
-1001.2568111933108,44.20261692024767,81
-1039.9148148626332,39.62542889393866,82
-1014.7862915770123,38.702078479006886,83
-901.3799970078131,38.10230468176305,84
-960.5569569363169,34.37458169274032,85
-885.014240277523,42.73001478083432,86
-878.3993387976839,35.681683946698904,87
-870.4344527375974,42.747159790098664,88
-1286.4680655815541,31.279732630178334,89
-743.9724402397385,39.56026891417801,90
-1440.5815302829,38.7252170599252,91
-887.5124442350698,35.39897967994213,92
-853.2025954302526,32.64205513432622,93
-1107.243661383217,34.91410423785448,94
-629.0496861884772,34.88018217563629,95
-595.7645291736038,33.26384668022394,96
-760.4614553011925,27.939529517665505,97
-1012.3462343371923,28.840708961933853,98
-878.0639777420679,30.402641356289386,99
-880.5633393828522,24.96170378655195,100
-1056.214777710658,23.492589546144007,101
-893.3955082801795,25.264478589743376,102
-763.1320657960539,24.1388235180825,103
-505.50097175783213,23.13241209179163,104
-553.7723736130598,26.654008081033826,105
-742.5199257151457,26.6922037550807,106
-961.3578975972842,23.324770770967007,107
-795.0068184016638,26.934202596992254,108
-753.3143419930043,26.45864893272519,109
-749.7826401513026,23.12310247182846,110
-1181.0581205410153,22.38455956786871,111
-748.4255588221755,22.340058853551746,112
